name,address,city,state,zip,capacity,lng,lat
Sunshine Childcare & Learning Center*,4238 Westview Center Plaza,Columbus,OH,43228,47,-83.11135802,39.93765941
Mini Miracles Child Care Center*,1030 Shady Lane,Columbus,OH,43227,47,-82.87118797,39.95435788
Oakstone Academy Day Care*,2655 Oakstone Dr,Columbus,OH,43231,24,-82.94605077,40.09799436
Teach & Learn Child Care*,2696 South Hamilton Road,Columbus,OH,43232,56,-82.87984452,39.92309261
Lending Hand Learning Center LLC*,2154 Parkwood Avenue,Columbus,OH,43211,58,-82.95649213,40.01212554
Newbridge Learning Center*,3850 SULLIVANT AVE,Columbus,OH,43228,68,-83.10155873,39.94239102
Elite Academy*,5475 Sandalwood Blvd,Columbus,OH,43229,61,-82.98037402,40.07843749
Gladden Community House Preschool*,183 Hawkes Ave,Columbus,OH,43223,44,-83.02518636,39.95559766
Safe Childcare Center LLC*,2975 Morse Road,Columbus,OH,43231,56,-82.94044225,40.05892765
Radiant Kids Child Care Center*,7055 Avery Rd,Dublin,OH,43017,104,-83.15878996,40.11424716
Bright Star Academy*,6567 Dublin Center Dr,Dublin,OH,43017,93,-83.09407629,40.10235128
Kings Kids Learning Center II*,4444 East Livingston Ave.,Columbus,OH,43227,76,-82.87728747,39.94484177
God's Kidz Too Christian Learning Center*,2300-A South Hamilton Rd,Columbus,OH,43232,135,-82.87946578,39.92757523
Bright Beginnings Learning & Enrichment Center*,7100 East Livingston Ave,Reynoldsburg,OH,43068,34,-82.8062948,39.94615196
Primrose School of Worthington,6902 North High St,Worthington,OH,43085,200,-83.01702906,40.1045647
Life Time Fitness,3825 Hard Road,Dublin,OH,43016,174,-83.08924796,40.11785699
Forest Park Christian Schools*,5600 Karl Rd,Columbus,OH,43229,142,-82.9755837,40.08131615
Little Disciples Learning Center*,4142 Westerville Rd ÿ Suite 200,Columbus,OH,43224,95,-82.94014586,40.05507625
Dublin Learning Academy,5900 Cromdale Dr,Dublin,OH,43017,124,-83.14806918,40.13638002
Sister Sister Child Care: First Steps LLC,1300 Yellowwood Dr,Columbus,OH,43229,22,-82.98313999,40.07770629
BA Kiddie College*,989 E.Main Street,Columbus,OH,43205,50,-82.97286496,39.95788224
"Chosen Kids Learning Center, LLC*",2545 Petzinger Road,Columbus,OH,43209,24,-82.92556519,39.93049434
Bright Horizons at Capital City,277 East Town St,Columbus,OH,43215,116,-82.9926988,39.95961362
Kinder Care Learning Center-Sunbury*,1231 S. Sunbury Rd.,Westerville,OH,43081,162,-82.89184192,40.09469387
We are the World Learning Academy*,6776 Refugee Rd,Columbus,OH,43110,30,-82.81885345,39.91091563
Childtime Children's Center*,6660 Doubletree Avenue,Columbus,OH,43229,112,-82.98739156,40.10199244
Natha Day Care Center*,1882 Tamarack Circle South,Columbus,OH,43229,24,-82.96774268,40.07572164
Children of America (columbus)*,8360 North High Street,Columbus,OH,43235,158,-83.0167078,40.13292002
"Nation Child Care Group, LTD*",4501 Sullivant Ave #C,Columbus,OH,43228,75,-83.11788873,39.93933818
Humble Beginnings Childcare and Learning Center*,1548 Lockbourne Rd,Columbus,OH,43207,34,-82.96443805,39.93415788
Kinder Care Learning Center - Tamarack*,1955 Tamarack Circle North,Columbus,OH,43229,100,-82.96611854,40.07764652
Prep Academy Schools - Dublin*,5720 Avery Rd,Dublin,OH,43016,299,-83.15841976,40.08389492
The Learning Experience*,9158 South Old State Road,Lewis Center,OH,43035,76,-82.99830141,40.14886785
"All in a Day Child Care Center, LLC*",3454 South Hamilton Road,Columbus,OH,43232,28,-82.88140206,39.90607012
Oxford School of Dublin*,5700 Blazer Parkway,Dublin,OH,43017,118,-83.13015564,40.08101963
Creekside Childcare Center*,2225 Rohr Rd,Lockbourne,OH,43137,72,-82.94233106,39.84516732
Play & Learn Christian Child Care*,35 E Stanton Avenue,Columbus,OH,43214,119,-83.01770854,40.07448371
Recess Child Development Center*,6776 Refugee Rd,Canal Winchester,OH,43110,21,-82.81885345,39.91091563
JCC North Preschool*,1985 Swansford Drive,Dublin,OH,43016,58,-83.06978097,40.12312017
Atonement Lutheran Preschool,1621 Francisco Road,Columbus,OH,43220,72,-83.06264157,40.05879502
La Petite Academy*,4426 Valley Quail Blvd South,Westerville,OH,43081,105,-82.8972362,40.08587585
St. Stephens Community House-Christ Child Center*,1500 East 17th ÿAve,Columbus,OH,43219,84,-82.96934143,40.00010738
"Zenith Learning Center, Inc.*",4600 Heaton Road,Columbus,OH,43229,65,-82.96693903,40.06238523
South Side Learning and Development Center*,280 Reeb Avenue,Columbus,OH,43207,138,-82.98742291,39.9250255
Live Laugh and Learn Junior,300 East 5th Avenue,Columbus,OH,43201,35,-82.99760303,39.98687359
Moonlight Center for Learning*,1314 Brice Rd,Reynoldsburg,OH,43068,42,-82.82879979,39.9533914
"Children's Choice Academy, LLC*",2873 Suwanee Rd,Columbus,OH,43224,88,-82.96103534,40.02646199
"A Love for Children, LLC*",4656 Heaton Rd,Columbus,OH,43229,,-82.96662109,40.06320726
Kinder Care Learning Center #1550*,1341 Cherry Way Drive,Gahanna,OH,43230,167,-82.88717532,40.05482817
"Zenith Learning East, Inc*",2261 South Hamilton Rd,Columbus,OH,43232,62,-82.87988392,39.92798503
Little Butterflies Daycare and Preschool*,1196 West Broad Street,Columbus,OH,43222,78,-83.0325257,39.95844766
Mary's Little Lamb Child Interactive Learning Academy*,1848 Parsons Ave,Columbus,OH,43207,20,-82.9843182,39.92561199
Enchanted Care Learning Center - Gahanna,4575 Morse Rd,Gahanna,OH,43230,144,-82.87123289,40.05561104
Christian Village Academy*,6950 Americana Parkway,Reynoldsburg,OH,43068,49,-82.81450465,39.93001348
Nikou Learning Center*,840 Dempsey Rd,Westerville,OH,43081,109,-82.8938858,40.09434416
Infinite Learning Too!*,4249 Eastland Square Drive,Columbus,OH,43232,43,-82.88301929,39.91335492
Barrington School,6046 Tara Hill Drive,Dublin,OH,43017,106,-83.15368828,40.11169686
The Goddard School - Parkmeadow*,6074 Parkmeadow Lane,Hilliard,OH,43026,140,-83.18072028,40.03763822
Kiddie World*,1393 Community Park,Columbus,OH,43229,76,-82.95226147,40.10063593
Primrose School of Hilliard West,4370 Creekbend Dr,Hilliard,OH,43026,130,-83.18152163,40.03935537
"Kann Learning Academy,LCC*",2743 East Fifth Avenue,Columbus,OH,43219,66,-82.93053641,39.98505177
Kinder Care Learning Center*,5381 W. Broad St,Columbus,OH,43228,95,-83.14389713,39.9515196
North Broadway Childrens Center*,48 East North Broadway,Columbus,OH,43214,254,-83.01420852,40.03161644
Dayspring Child Care Center*,3919 Brice Road,Canal Winchester,OH,43110,115,-82.83474076,39.89176465
Enchanted Care Learning Center - Dublin*,4370 Dale Dr.,Dublin,OH,43017,143,-83.1071247,40.10154313
Kinder Care Learning Center #1241*,5757 Shannon Heights Blvd,Dublin,OH,43016,131,-83.12285501,40.07058194
Gahanna Children's College*,230 Agler Rd.,Gahanna,OH,43230,131,-82.88695875,40.01925423
Karl Academy and Learning Center*,3976 Karl Road,Columbus,OH,43224,51,-82.97674736,40.04930966
Hawthorn Academy*,3760 Snouffer Rd,Columbus,OH,43235,44,-83.08919536,40.10454616
Primrose School of Reynoldsburg,60 North Brice Road,Columbus,OH,43213,204,-82.82668348,39.98301017
Brightside Academy Early Care and Education*,3611 East Livingston Ave,Columbus,OH,43227,156,-82.8991003,39.94593689
Christian Community Connections CCC*,2410 Park Crescent Dr,Columbus,OH,43232,48,-82.84186737,39.93099644
All Star Academy Learning Center*,5992 Westerville Road,Westerville,OH,43081,50,-82.92539526,40.0939281
Kids Klub Child Care*,5521 Groveport Rd,Groveport,OH,43125,126,-82.91055386,39.85934405
"Connected Pathways Early Learning Centers, LLC*",4350 Cleveland Ave.,Columbus,OH,43224,20,-82.95309233,40.05787362
Walker's Child Care and Learning Center*,1146 Barnett Rd,Columbus,OH,43227,42,-82.90612864,39.9480576
Ourday at Messiah Preschool,51 North State Street,Westerville,OH,43081,104,-82.93219157,40.1272917
Columbus Advanced Learning Academy Inc*,3992-3994 Alum Creek Dr,Columbus,OH,43207,21,-82.93036973,39.88701765
Kinder Care Learning Center*,3885 Berry Leaf Lane,Hilliard,OH,43026,142,-83.14884249,40.03175062
The Learning Experience,6320 Perimeter Loop Road,Dublin,OH,43017,79,-83.15222925,40.10175084
Destiny's Childcare & Learning Academy LLC,1634 East Main St,Columbus,OH,43205,50,-82.95582892,39.95766613
Halo Academy*,6049 Cleveland Ave,Columbus,OH,43231,93,-82.95036259,40.0957116
Kiddie Korner and Childcare Learning Center*,2768 South Hamilton Road,Columbus,OH,43232,17,-82.8799354,39.92193489
Moonlight Child Care*,4656 West Broad St,Columbus,OH,43228,119,-83.12626979,39.9524716
Sonshine Christian Academy*,1965 Gladstone Avenue,Columbus,OH,43211,52,-82.96985216,40.00643484
Poppy's Learning Center LLC*,755 East Main St,Columbus,OH,43205,33,-82.97914109,39.95802888
"Kids World Child Day Care, Inc.*",2812 Morse Road,Columbus,OH,43231,168,-82.94435695,40.05918354
YMCA West ÿCentral Preschool*,1481 West Town Street,Columbus,OH,43223,20,-83.04181038,39.95372937
Heaven Sent Children's Academy*,5616 Gender Road,Canal Winchester,OH,43110,105,-82.82715951,39.8656623
"Little Gems Learning Place, LLC*",1159 Clinton St,Columbus,OH,43211,30,-82.97910542,40.01203442
Success Kidz 24-Hour Enrichment Center*,1800 Parsons Ave,Columbus,OH,43207,68,-82.98423969,39.92661072
"PARKERS LEARNING CENTER II, LLC*",2040 East Dublin Granville Rd suit d,Columbus,OH,43229,26,-82.96331012,40.08692822
Little Angels,5336 Gender Rd,Canal Winchester,OH,43110,38,-82.82654749,39.872669
Mee Maw's House*,2283 Sunbury Rd,Columbus,OH,43219,80,-82.93399928,40.0189736
Kinder Care Learning Center - #708*,5351 Cleveland Ave,Columbus,OH,43231,142,-82.95165477,40.07861087
Gahanna Christian Academy,817 N. Hamilton Road,Gahanna,OH,43230,73,-82.86502527,40.03915249
"Discovery Learning Center, Inc.*",4970 Cleveland Ave.,Columbus,OH,43231,105,-82.95208064,40.07075918
City Kids Daycare Downtown*,274 Marconi Blvd.,Columbus,OH,43215,115,-83.00526686,39.96715564
Riverside Children's Center (Bright Horizons),835 Thomas Lane,Columbus,OH,43214,240,-83.03859536,40.03271956
Agora's Little Gems Early Learning & Child Care*,400 West Broad St,Columbus,OH,43215,154,-83.0110927,39.961088
Kiddy Grove Day Care West 2*,3779 Sullivant Ave,Columbus,OH,43228,51,-83.09888342,39.94240927
Millbrook Nursery School and Kindergarten*,1405 Moler Rd,Columbus,OH,43207,96,-82.95668824,39.93193875
Kinder Care Learning Center - Sawmill*,4895 Sawmill Rd,Columbus,OH,43235,96,-83.09312566,40.06931485
Giggles and Blessings Learning Center*,1474 Cleveland Ave,Columbus,OH,43211,41,-82.97983732,39.99543651
Daycare R Us*,2241 Agler Rd,Columbus,OH,43224,58,-82.95235123,40.02696581
JCC of Greater Columbus*,1125 College Ave.,Columbus,OH,43209,280,-82.93574032,39.94587992
Jubba Day Care West*,3770 West Broad St,Columbus,OH,43228,107,-83.10154756,39.95370725
Chase Back-Up Child Care Center,3415 Vision Dr,Columbus,OH,43219,104,-82.92134424,40.0442073
Heavenly Kids Center for Learning*,400 East Mound St,Columbus,OH,43215,194,-82.9883655,39.95612618
Purple Door Christian Child Care Center,2684 Columbus St.,Grove City,OH,43123,161,-83.0742125,39.88138686
Friendship Christian Learning Center*,1775 W. Broad Street,Columbus,OH,43223,91,-83.04776606,39.95651382
Fun-Damentals Learning Center*,1449 Chambers Road,Columbus,OH,43212,108,-83.0456305,39.99385197
The Learning Ladder Preschool and Daycare,695 Cooper Rd.,Westerville,OH,43081,100,-82.94121485,40.10812784
Mock University for Children*,1911 Oakland Park Ave,Columbus,OH,43224,112,-82.96213093,40.0311886
Kinder Care Learning Center-New Albany-#000556*,5524 New Albany Rd East,New Albany,OH,43054,148,-82.82609647,40.09714382
Neighborhood House Child Care*,1000 Atcheson Street,Columbus,OH,43203,61,-82.9758979,39.97369229
Sunny Day Academy*,5675 Feder Rd,Columbus,OH,43228,173,-83.15195378,39.97312477
Central Community House Child Care*,1150 East Main Street,Columbus,OH,43205,72,-82.96885363,39.95792877
Edwards Creative Learning Center*,3858 Alum Creek Drive,Columbus,OH,43207,177,-82.93016976,39.88940215
Primrose School of Canal Winchester,6375 Winchester Blvd.,Canal Winchester,OH,43110,80,-82.83011405,39.85405533
Balanced Family Academy,5150 Reed Rd,Columbus,OH,43220,88,-83.06648496,40.06296933
Academy One*,10102 Woodcrest Way,New Albany,OH,43054,155,-82.78743774,40.09315478
Bundles of Joy*,2693 Mock Road,Columbus,OH,43219,30,-82.93701354,40.01075703
Riverside Methodist Child Care,2701 Zollinger Road,Columbus,OH,43221,64,-83.08547828,40.01959069
Burbank Early Childhood School,4770 Burbank Drive,Columbus,OH,43220,191,-83.08295192,40.05236325
"Little Prep School, Inc*",2350 Fuji Dr.,Columbus,OH,43229,94,-82.95447453,40.08842551
Kinder Care Learning Center-Worthington*,401 Park Rd.,Worthington,OH,43085,99,-82.99696045,40.12692667
Smoky Row Children's Center*,8615 Smoky Row Rd,Powell,OH,43065,236,-83.07090275,40.13315167
Columbus Montessori Education Center*,979 S James Rd,Columbus,OH,43227,229,-82.91538177,39.95148705
Kinder Care Learning Center*,5959 East Broad Street,Columbus,OH,43213,120,-82.84645355,39.97883561
Bright Start Learning Center*,6060 Channingway Blvd.,Columbus,OH,43232,114,-82.83163518,39.93863581
Sprout Early Education Center*,415 East Main St,Columbus,OH,43215,42,-82.98794237,39.95745398
Global Child Care Center*,1845 East Hudson St,Columbus,OH,43211,141,-82.96032343,40.01336477
Kinder Care Learning Center*,861 Eastwind Drive,Westerville,OH,43081,99,-82.91403533,40.10198912
Ladan Learning Center. LLC*,6028 Cleveland Avenue,Columbus,OH,43232,42,-82.95021888,40.09571354
Kinder Care Learning Center #880*,2680 Sawbury Blvd,Worthington,OH,43235,100,-83.08685207,40.11394501
Kinder Care Learning Center*,2001 Hard Rd,Columbus,OH,43235,107,-83.06880003,40.1172885
Primrose School of Upper Arlington,2941 Kenny Road,Columbus,OH,43221,90,-83.03940734,40.01955519
Little Dreamers Big Believers,828 Grandview Ave,Columbus,OH,43215,90,-83.04559024,39.97405333
Columbus Early Learning Center - B.I.T.C.*,760 East Broad Street,Columbus,OH,43205,38,-82.98033674,39.9646935
Daydream Daycare*,3077 Fisher Road,Columbus,OH,43204,64,-83.08258377,39.97132732
Tiny Toe's 1*,5115-5117 East Main St,Columbus,OH,43227,54,-82.86056867,39.95497118
Early Horizons Learning Center*,4330 Clime Rd North,Columbus,OH,43228,99,-83.11145494,39.93507942
F.C.I. Too! Early Learning Academy*,2511 Mock Road,Columbus,OH,43219,127,-82.94296998,40.01120866
Kiddy Grove West Day Care Center*,3777 Sullivant Ave,Columbus,OH,43228,77,-83.09880013,39.94241351
Faith United Methodist Educare,15 W Columbus St,Canal Winchester,OH,43110,81,-82.80634191,39.84140896
Kids By Design Enrichment Academy,1200 Brentnell Ave,Columbus,OH,43219,80,-82.94985221,39.99236203
The Sunshine House*,515 Waterbury Blvd.,Gahanna,OH,43230,98,-82.86364914,40.00784437
Tiny Tots Child Care Services*,1442 Elmore Ave,Columbus,OH,43224,16,-82.97665638,40.04249337
Our Lady of Bethlehem School and Child Care,4567 Olentangy River Road,Columbus,OH,43214,152,-83.03385894,40.05425424
YMCA Early Learning Center*,2879 Johnstown Road,Columbus,OH,43219,78,-82.90806133,40.00815117
Kinder Care Learning Center*,77 Caren Ave,Worthington,OH,43085,203,-83.01953118,40.10546044
Early Foundations Learning Center*,1521 East Dublin Granville Road,Columbus,OH,43229,46,-82.97701143,40.08696949
Glenwood Center For Early Childhood*,2833 Valleyview Dr,Columbus,OH,43204,102,-83.07775487,39.9630543
Little Buckeye Learning Center*,827 East Dublin Granville Rd,Columbus,OH,43229,101,-82.99659846,40.08774035
A Child's Place Learning Center*,5130 Sedalia Dr,Columbus,OH,43232,73,-82.86349879,39.90708226
Tomorrow's Child Preschool and Learning Center,3975 Brown Park Dr.,Hilliard,OH,43026,104,-83.13810394,40.03421751
Our Play Station and Learning Center*,520 North Nelson Rd.,Columbus,OH,43219,84,-82.9447583,39.97901294
Little Peoples Day Care*,3880 Clime Rd,Columbus,OH,43228,39,-83.09931146,39.9294342
Hoggy's Play Pen*,6535 East Livingston Avenue,Reynoldsburg,OH,43068,36,-82.8212497,39.94285182
A Child's Garden*,5200 Sullivant Avenue,Columbus,OH,43228,112,-83.13837125,39.94305727
My Little Academy Learning Center*,4856 W Broad St,Columbus,OH,43228,28,-83.13102318,39.95229127
Sunshine Nursery School*,3750 ÿHenderson Road,Columbus,OH,43220,179,-83.09284266,40.0609047
Heaven Sent Children's Academy II*,5624 Gender Road,Canal Winchester,OH,43110,96,-82.82718957,39.86540226
"SarahAnns Learning Unlimited, LLC.*",3898 Lattimer St,Hilliard,OH,43026,151,-83.15968951,40.03112221
A Better Choice Care*,2572 Cleveland Ave,Columbus,OH,43211,91,-82.96492886,40.01973901
The Enrichment Center-Grove City*,4200 Kelnor Drive,Grove City,OH,43123,93,-83.06674199,39.87714005
OSU Child Care Center - Buckeye Village*,2724 Defiance Drive,Columbus,OH,43210,119,-83.02630882,40.0156422
Sister's Academy LLC*,1680 Schrock Rd,Columbus,OH,43229,22,-82.97088636,40.10594643
Coleeta Day Care*,5336 Gender Rd,Canal Winchester,OH,43110,89,-82.82654749,39.872669
Ginger's Little Lamb*,271 Tallman St.,Groveport,OH,43125,114,-82.89678307,39.85322843
La Petite Academy - Dublin*,7135 Sawmill Rd.,Dublin,OH,43017,105,-83.09074516,40.11261421
Epworth Day Care With A Difference,5100 Karl Rd,Columbus,OH,43229,46,-82.97644446,40.07134107
Creative Play Center,600 High St,Worthington,OH,43085,100,-83.0181471,40.08562642
A Place to Grow,6760 Discovery Blvd.,Dublin,OH,43017,103,-83.14992025,40.10354722
Church of the Redeemer UM Preschool & Child Care,235 McNaughten Road,Columbus,OH,43213,63,-82.83668786,39.97549727
High Hopes Child Care Center*,1234 Marion Road,Columbus,OH,43207,36,-82.96349938,39.92261938
Little Gems Learning Place*,1000 Bonham Ave.,Columbus,OH,43211,37,-82.98203145,39.99334416
All God's Children Learning Center*,895-C Parsons Ave,Columbus,OH,43206,39,-82.98295994,39.94554902
Faith and Dreams Early Education Academy*,2551 Franksway Street,Columbus,OH,43232,36,-82.88146041,39.92251273
Tina's Tiny Toons Too*,1999 Bryden Rd,Columbus,OH,43205,94,-82.94716955,39.96001345
La Petite Academy - Hilliard*,3710 Ridge Mill Dr.,Hilliard,OH,43026,149,-83.11211359,40.03009024
Christ Lutheran Children's Center,2314 E Main St,Columbus,OH,43209,125,-82.93697403,39.9572533
Treehouse Learning Center*,158 Imperial Drive,Gahanna,OH,43230,46,-82.89219633,40.02246738
Ibiscus Child Care Center*,5695 Emporium Square,Columbus,OH,43231,80,-82.94801982,40.08588169
A+ Academy Child Center*,4580 Heaton Road,Columbus,OH,43229,176,-82.96696445,40.0621564
Bright Minds Daycare and Learning Center*,142 North Wilson Road,Columbus,OH,43204,56,-83.09366142,39.95729894
Kinder Care Learning Center - Avery*,4705 Avery Rd.,Hilliard,OH,43026,102,-83.1594174,40.05177766
YMCA Jerry L Garver Child Care Program*,6767 Refugee Road,Canal Winchester,OH,43110,120,-82.82066638,39.91041512
Fresh Start Learning Academy III*,3030 Sullivant Ave,Columbus,OH,43204,130,-83.07930776,39.94351662
Today's Child Learning Center*,3715 E Main St,Whitehall,OH,43213,79,-82.89898157,39.95610233
Kinder Care Learning Center*,2960 E. Dublin-Granville Rd.,Columbus,OH,43231,100,-82.94036515,40.08314014
Kinder Care Learning Center-Kimberly Parkway*,4235 Kimberly Parkway North,Columbus,OH,43232,88,-82.88515367,39.92614368
Primrose School of Hilliard at Mill Run,4230 Trueman Blvd,Hilliard,OH,43026,180,-83.12124607,40.03788871
Joyful Beginnings Children's Learning Academy*,1825 Woodland Ave,Columbus,OH,43219,90,-82.95411812,40.00566079
The Cottage Child Development Center*,4855 Pintail Creek Dr,Canal Winchester,OH,43110,56,-82.82780034,39.87942732
Helpful Hands Childrens Center*,1271 Morse Road,Columbus,OH,43229,88,-82.98499356,40.06091815
Indianola Children's Center*,1970 Waldeck Ave,Columbus,OH,43201,48,-83.00543062,40.00311607
Merry Moppet Early Learning Center*,2701 Hard Rd,Columbus,OH,43235,125,-83.08755516,40.11780162
Our Kidz Enrichment & Child Care Centers*,1787 East Livingston Ave,Columbus,OH,43205,78,-82.94953359,39.94866405
St. Mary Preschool,672 South Third Street,Columbus,OH,43206,64,-82.99525265,39.94870913
Just Like Mam Mam's Child Care Center*,2631 Morse Road,Columbus,OH,43231,93,-82.94888989,40.05928682
Children's Academy*,100 Obetz Road,Columbus,OH,43207,200,-82.99825058,39.88219918
Kiwi's Clubhouse,2025 West Henderson Rd,Columbus,OH,43220,50,-83.07362732,40.05651066
A Little Piece of Heaven Learning Center*,771 Harrisburg Pike,Columbus,OH,43223,45,-83.03900917,39.94169359
Live Laugh and Learn Infant/Toddler Center,184 E. 5th Ave,Columbus,OH,43201,60,-83.00028959,39.98697702
Revelation Family Child Care Center LLC*,2850 Fisher Road,Columbus,OH,43204,55,-83.07682542,39.97298311
"Little Gems Learning Place, LLC*",2030 Leonard Ave,Columbus,OH,43219,86,-82.95071601,39.9875735
Eastminster Child's Play and Learning Center*,3100 East Broad,Columbus,OH,43209,100,-82.91960687,39.97143911
The Goddard School of Worthington,694 Mt. Airyshire Blvd.,Columbus,OH,43235,143,-83.03600285,40.12660334
Kinder Care Learning Center-Reynoldsburg*,6720 Tussing Road,Reynoldsburg,OH,43068,97,-82.81967873,39.92690848
"Jubba Daycare 2, Inc*",4428 Walford Street,Columbus,OH,43224,95,-82.96181496,40.0593124
Enchanted Care Learning Center*,4392 Davidson Rd,Hilliard,OH,43026,144,-83.13552038,40.04979663
